date,temperature,humidity,luminosity
2022-11-17 15:28:19.404,25.0,13.3,53
2022-11-17 15:28:17.761,24.9,13.4,54
2022-11-17 15:28:16.117,25.0,13.6,54
2022-11-17 15:28:14.473,25.0,13.6,53
2022-11-17 15:28:12.830,25.0,13.7,53
2022-11-17 15:28:11.186,25.0,13.7,55
2022-11-17 15:28:09.544,25.0,13.6,55
2022-11-17 15:28:07.900,25.0,13.6,54
2022-11-17 15:28:06.256,25.0,13.7,53
2022-11-17 15:28:04.612,25.0,13.4,54
2022-11-17 15:28:02.968,25.0,13.2,54
2022-11-17 15:28:01.325,25.0,13.1,54
2022-11-17 15:27:59.683,25.0,13.2,54
2022-11-17 15:27:58.040,25.0,13.0,53
2022-11-17 15:27:56.396,25.0,13.1,54
2022-11-17 15:27:54.753,25.0,13.0,54
2022-11-17 15:27:53.111,25.0,12.8,54
2022-11-17 15:27:51.468,25.0,12.8,54
2022-11-17 15:27:49.824,25.0,12.2,54
2022-11-17 15:27:48.181,25.0,11.8,51
2022-11-17 15:27:46.537,25.0,11.0,49
2022-11-17 15:27:44.894,25.0,10.6,50
2022-11-17 15:27:43.251,25.0,10.7,54
2022-11-17 15:27:41.608,25.0,10.9,54
2022-11-17 15:27:39.964,25.0,10.9,55
2022-11-17 15:27:38.321,25.0,11.0,54
2022-11-17 15:27:36.677,25.0,11.3,54
2022-11-17 15:27:35.034,25.0,11.2,54
2022-11-17 15:27:33.391,25.0,11.5,55
2022-11-17 15:27:31.746,25.0,11.4,55
2022-11-17 15:27:30.104,25.0,11.5,54
2022-11-17 15:27:28.461,25.0,11.2,54
2022-11-17 15:27:26.817,25.0,11.1,53
2022-11-17 15:27:25.175,25.0,10.8,54
2022-11-17 15:27:23.532,24.9,10.8,53
2022-11-17 15:27:21.889,25.0,10.7,53
2022-11-17 15:27:20.244,25.0,10.7,54
2022-11-17 15:27:18.601,25.0,10.7,53
2022-11-17 15:27:16.957,24.9,10.6,54
2022-11-17 15:27:15.313,25.0,10.1,54
2022-11-17 15:27:13.670,25.0,9.7,54
2022-11-17 15:27:12.026,25.0,9.7,54
2022-11-17 15:27:10.383,25.0,9.5,54
2022-11-17 15:27:08.740,25.0,9.6,53
2022-11-17 15:27:07.096,25.0,9.7,53
2022-11-17 15:27:05.452,25.0,9.7,53
2022-11-17 15:27:03.808,25.0,9.8,53
2022-11-17 15:27:02.164,25.0,9.9,53
2022-11-17 15:27:00.521,25.0,9.8,53
2022-11-17 15:26:58.878,25.0,10.1,52
2022-11-17 15:26:57.235,25.0,9.9,51
2022-11-17 15:26:55.592,25.0,10.2,53
2022-11-17 15:26:53.948,25.0,10.2,51
2022-11-17 15:26:52.306,25.0,10.2,51
2022-11-17 15:26:50.663,25.0,10.5,50
2022-11-17 15:26:49.019,25.0,10.5,50
2022-11-17 15:26:47.377,25.0,10.7,52
2022-11-17 15:26:45.734,25.0,10.7,51
2022-11-17 15:26:44.091,25.0,10.7,53
2022-11-17 15:26:42.448,25.0,11.0,54
2022-11-17 15:26:40.805,25.0,10.9,53
2022-11-17 15:26:39.162,25.0,10.9,54
2022-11-17 15:26:37.519,25.0,10.9,53
2022-11-17 15:26:35.876,25.0,11.2,53
2022-11-17 15:26:34.232,25.0,11.1,52
2022-11-17 15:26:32.588,25.0,11.2,53
2022-11-17 15:26:30.944,25.0,11.1,54
2022-11-17 15:26:29.301,25.0,11.1,52
2022-11-17 15:26:27.658,25.0,11.3,53
2022-11-17 15:26:26.015,24.9,11.2,52
2022-11-17 15:26:24.371,25.0,11.4,53
2022-11-17 15:26:22.728,25.0,11.6,53
2022-11-17 15:26:21.084,25.0,11.5,53
2022-11-17 15:26:19.440,25.0,11.5,53
2022-11-17 15:26:17.797,25.0,11.6,54
2022-11-17 15:26:16.153,25.0,11.6,54
2022-11-17 15:26:14.510,25.0,11.7,54
2022-11-17 15:26:12.866,25.0,11.7,53
2022-11-17 15:26:11.223,25.0,11.7,51
2022-11-17 15:26:09.579,25.0,12.0,52
2022-11-17 15:26:07.936,25.0,11.6,51
2022-11-17 15:26:06.293,25.0,12.0,52
2022-11-17 15:26:04.650,25.0,12.1,53
2022-11-17 15:26:03.007,25.0,11.9,53
2022-11-17 15:26:01.364,25.0,12.1,52
2022-11-17 15:25:59.721,25.0,12.2,53
2022-11-17 15:25:58.078,25.0,12.2,53
2022-11-17 15:25:56.435,25.0,12.3,53
2022-11-17 15:25:54.793,25.0,12.3,52
2022-11-17 15:25:53.149,25.0,12.3,51
2022-11-17 15:25:51.505,25.0,12.2,51
2022-11-17 15:25:49.862,25.0,12.4,50
2022-11-17 15:25:48.218,25.0,12.5,49
2022-11-17 15:25:46.574,25.0,12.4,51
2022-11-17 15:25:44.931,25.0,12.3,52
2022-11-17 15:25:43.289,25.0,12.2,53
2022-11-17 15:25:41.646,25.0,12.2,54
2022-11-17 15:25:40.002,25.0,12.2,55
2022-11-17 15:25:38.360,25.0,12.1,55
2022-11-17 15:25:36.717,25.0,11.8,55
2022-11-17 15:25:35.072,25.0,11.6,55
2022-11-17 15:25:33.430,25.0,11.4,56
2022-11-17 15:25:31.785,25.0,11.4,55
2022-11-17 15:25:30.143,25.0,11.4,56
2022-11-17 15:25:28.499,25.0,11.7,55
2022-11-17 15:25:26.855,25.0,11.8,56
2022-11-17 15:25:25.212,25.0,11.8,56
2022-11-17 15:25:23.569,25.0,11.9,56
